backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,gate_mean,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
ImputeFormer,0.6199235105826184,PEMS08,0.1522285112368515,0.7445933024088541,1.0,0.2811689674854278,1.9357171058654783,0.5922059701159109,ImputeFormer+DoRAAdapter,DoRAAdapter,4.471122645543465,0.4798493087291717,0.4358574450016022,sensor_failure_30,1
SAITS,0.3013100158232721,PEMS08,0.0418886412859873,0.081206384339003,1.0,0.1804344803094864,1.474724292755127,0.276875981735863,SAITS+DoRAAdapter,DoRAAdapter,8.109267134930045,0.2269564568996429,0.3067508935928345,incident_perturbation,1
MagiNet,0.1447356579940248,PEMS08,0.025635013765958,0.081206384339003,1.0,0.1013369783759117,0.8314420580863953,0.1413775288120226,MagiNet+DoRAAdapter,DoRAAdapter,2.3201809619996308,0.1221704855561256,0.1757875084877014,incident_perturbation,1
BRITS,0.2887100195288438,PEMS08,0.0506540401618997,0.081206384339003,1.0,0.1667003184556961,1.3108254671096802,0.2607179749580356,BRITS+DoRAAdapter,DoRAAdapter,9.69555702170967,0.2303154617547989,0.2900933623313904,incident_perturbation,1
ImputeFormer,0.1655927326521498,PEMS08,0.0235198546002265,0.081206384339003,1.0,0.1123363599181175,0.8293981552124023,0.1623310325503187,ImputeFormer+DoRAAdapter,DoRAAdapter,1.969712106075736,0.1427921205759048,0.1958364993333816,incident_perturbation,1
SAITS,0.2751607081940697,PEMS08,0.0333406581010728,0.0874382925811434,1.0,0.1524446308612823,1.3849785327911377,0.2577457528574604,SAITS+DoRAAdapter,DoRAAdapter,6.329012398211504,0.2132806330919265,0.2675216495990753,random_missing_50,2
MagiNet,0.1313861503961348,PEMS08,0.0239816527856166,0.0874382925811434,1.0,0.0812340900301933,0.7852033376693726,0.1289123587559794,MagiNet+DoRAAdapter,DoRAAdapter,1.8828404917085035,0.1143455505371093,0.136191576719284,random_missing_50,2
BRITS,0.2772211556520605,PEMS08,0.0608402599838633,0.0874382925811434,1.0,0.1674698889255523,1.5272871255874634,0.2382770577164847,BRITS+DoRAAdapter,DoRAAdapter,14.048025246837392,0.1984005123376846,0.2608099579811096,random_missing_50,2
ImputeFormer,0.1417695832343156,PEMS08,0.028314701577688,0.0874382925811434,1.0,0.0887283757328987,0.7813729047775269,0.1365031318753449,ImputeFormer+DoRAAdapter,DoRAAdapter,3.714796389198866,0.1168790236115455,0.1465292423963546,random_missing_50,2
SAITS,0.4213101256127451,PEMS08,0.1319738026537926,0.7944016799428104,1.0,0.201122298836708,1.4998191595077517,0.4065886104808134,SAITS+DoRAAdapter,DoRAAdapter,3.494222957618459,0.4534437954425812,0.3530191481113434,sensor_failure_30,2
MagiNet,0.4884719349979575,PEMS08,0.0081078258215212,0.7944016799428104,1.0,0.1494902521371841,0.7035022377967834,0.4889971165875204,MagiNet+DoRAAdapter,DoRAAdapter,-0.1075152023964561,0.3548259735107422,0.3581356108188629,sensor_failure_30,2
BRITS,0.447814193426394,PEMS08,0.0960277233248442,0.7944016799428104,1.0,0.1955331861972808,1.4931151866912842,0.4244677475075316,BRITS+DoRAAdapter,DoRAAdapter,5.213422500128898,0.461620420217514,0.3558692932128906,sensor_failure_30,2
ImputeFormer,0.634031707165288,PEMS08,0.1097349279067095,0.7944016799428104,1.0,0.2712343037128448,1.519477367401123,0.6133237352558211,ImputeFormer+DoRAAdapter,DoRAAdapter,3.2660782852723327,0.5099248886108398,0.4403705596923828,sensor_failure_30,2
SAITS,0.2999684560610358,PEMS08,0.0359284536510716,0.0874382925811434,1.0,0.1918290853500366,1.621010184288025,0.2827838068138262,SAITS+DoRAAdapter,DoRAAdapter,5.728818780769737,0.2325672060251236,0.3112187683582306,incident_perturbation,2
MagiNet,0.1504774651585306,PEMS08,0.0230291266682892,0.0874382925811434,1.0,0.1055055186152458,0.7905266284942627,0.1481038840668312,MagiNet+DoRAAdapter,DoRAAdapter,1.5773664775644478,0.1327692717313766,0.1843016892671585,incident_perturbation,2
BRITS,0.2873400104831043,PEMS08,0.0602570572002349,0.0874382925811434,1.0,0.1902878731489181,1.5460681915283203,0.2505873239480483,BRITS+DoRAAdapter,DoRAAdapter,12.790660957123182,0.2155473530292511,0.2906795442104339,incident_perturbation,2
ImputeFormer,0.1564554368646893,PEMS08,0.0285485299338625,0.0874382925811434,1.0,0.1216843873262405,0.9259008169174194,0.1494209797678002,ImputeFormer+DoRAAdapter,DoRAAdapter,4.496141034058753,0.1292656660079956,0.1905450224876403,incident_perturbation,2
SAITS,0.2809823044452036,PEMS08,0.0101936938669979,0.0827375080605539,1.0,0.1450609266757965,1.157563090324402,0.277408942129061,SAITS+DoRAAdapter,DoRAAdapter,1.2717392731183552,0.2225835472345352,0.2844547927379608,random_missing_50,3
MagiNet,0.1350111600288644,PEMS08,0.0109735011088059,0.0827375080605539,1.0,0.0736564174294471,0.6778965592384338,0.1328763876867361,MagiNet+DoRAAdapter,DoRAAdapter,1.5811821346264097,0.1201072931289672,0.1407310962677002,random_missing_50,3
BRITS,0.2759361217892127,PEMS08,0.0140781347533302,0.0827375080605539,1.0,0.1444865465164184,1.0830562114715576,0.2725844247067494,BRITS+DoRAAdapter,DoRAAdapter,1.2146641261500584,0.2267671674489975,0.2771005630493164,random_missing_50,3
ImputeFormer,0.1425719926217143,PEMS08,0.0053582320611292,0.0827375080605539,1.0,0.0747890025377273,0.6208766102790833,0.1427679138614659,ImputeFormer+DoRAAdapter,DoRAAdapter,-0.1374191635740353,0.120861180126667,0.1506687104701995,random_missing_50,3
SAITS,0.3975780711454503,PEMS08,0.1055076698851741,0.7885321822820925,1.0,0.1740451604127884,0.9141337275505066,0.3963673161525352,SAITS+DoRAAdapter,DoRAAdapter,0.304532639193819,0.4476267993450165,0.3152093589305877,sensor_failure_30,3
MagiNet,0.5616612652547999,PEMS08,0.0242684277054531,0.7885321822820925,1.0,0.1881837993860244,1.6346622705459597,0.5565618876538245,MagiNet+DoRAAdapter,DoRAAdapter,0.9079097877013094,0.4472731649875641,0.3926959335803985,sensor_failure_30,3
BRITS,0.4203960942287071,PEMS08,0.100914126128153,0.7885321822820925,1.0,0.1831011623144149,0.864229679107666,0.4278439789815665,BRITS+DoRAAdapter,DoRAAdapter,-1.7716350972584445,0.4531805515289306,0.3326780796051025,sensor_failure_30,3
ImputeFormer,0.611839992548126,PEMS08,0.1693399217393663,0.7885321822820925,1.0,0.2703021764755249,1.9194542169570925,0.5874389448976205,ImputeFormer+DoRAAdapter,DoRAAdapter,3.9881419893594505,0.5074572563171387,0.4287548363208771,sensor_failure_30,3
SAITS,0.3003833501101609,PEMS08,0.0137114252789647,0.0827375080605539,1.0,0.1757750064134597,1.2226792573928833,0.2983852443403396,SAITS+DoRAAdapter,DoRAAdapter,0.6651852604641755,0.2371088564395904,0.3207253217697143,incident_perturbation,3
