backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,fixed_harm_coef,gate_mean,harm_mode,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
MagiNet,0.6071045917013417,PEMS04,0.1569811226665109,0.7285505101300668,,0.620391845703125,,0.2170583456754684,1.2222996950149536,0.5873499331266984,MagiNet+CalibrationGuard,CalibrationGuard,3.253913550428457,0.4928100109100342,0.434602677822113,sensor_failure_30,1
MagiNet,0.6071045917013417,PEMS04,0.1562715889751047,0.7285505101300668,,0.6202387049578238,,0.2143599390983581,1.2099169492721558,0.5875973908797555,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,3.213153233929507,0.4931506812572479,0.4345141351222992,sensor_failure_30,1
MagiNet,0.6071045917013417,PEMS04,0.1171547986459041,0.7285505101300668,1.0,0.6078442559725996,failure_aware_soft,0.2067690938711166,1.2242920398712158,0.5838255398515342,MagiNet+PhyGuard,PhyGuard,3.834438442405879,0.4910154342651367,0.4301967918872833,sensor_failure_30,1
SAITS,0.2056108076126403,PEMS04,,0.0782645901272767,,,,0.1266127973794937,0.4642357528209686,0.2056108076126403,SAITS,Backbone,0.0,,0.2652824521064758,incident_perturbation,1
SAITS,0.2056108076126403,PEMS04,0.0714389003815307,0.0782645901272767,,1.0,,0.1523791998624801,0.6231337785720825,0.1819901018396073,SAITS+GenericAdapter,GenericAdapter,11.488066238975728,0.1564075350761413,0.2551924884319305,incident_perturbation,1
SAITS,0.2056108076126403,PEMS04,0.0909650097870232,0.0782645901272767,,0.6086031251069912,,0.1432049870491027,0.5706347227096558,0.1858896648874024,SAITS+CalibrationGuard,CalibrationGuard,9.591491300589372,0.1602300703525543,0.2543350458145141,incident_perturbation,1
SAITS,0.2056108076126403,PEMS04,0.0914737781868409,0.0782645901272767,,0.6088187124460764,,0.1442306339740753,0.5744228363037109,0.1858961177962801,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,9.588352891206792,0.160075381398201,0.2551531195640564,incident_perturbation,1
SAITS,0.2056108076126403,PEMS04,0.083629197533638,0.0782645901272767,1.0,0.6125340499606272,failure_aware_soft,0.1431878507137298,0.5765177607536316,0.1864387806850862,SAITS+PhyGuard,PhyGuard,9.32442567108299,0.1604890078306198,0.2535073459148407,incident_perturbation,1
MagiNet,0.1707685601708008,PEMS04,,0.0782645901272767,,,,0.109347715973854,0.4323212802410126,0.1707685601708008,MagiNet,Backbone,0.0,,0.2281835675239563,incident_perturbation,1
MagiNet,0.1707685601708008,PEMS04,0.0585621416127965,0.0782645901272767,,1.0,,0.1324685513973236,0.5605539083480835,0.1600318559716088,MagiNet+GenericAdapter,GenericAdapter,6.287283905452666,0.142712727189064,0.222187802195549,incident_perturbation,1
